unq:table_id,unq:name@Attributes.attrib_id,unq:name@AttribValues.value_id
1,'Allegiance','Alliance'
1,'Allegiance','Anarchy'
1,'Allegiance','Empire'
1,'Allegiance','Federation'
1,'Allegiance','Independent'
1,'Allegiance','None'
1,'Economy','Agriculture'
1,'Economy','Extraction'
1,'Economy','High Tech'
1,'Economy','Industrial'
1,'Economy','Refinery'
1,'Economy','Service'
1,'Economy','Terraforming'
1,'Economy','Tourism'
1,'Government','Anarchy'
1,'Government','Colony'
1,'Government','Communism'
1,'Government','Confederacy'
1,'Government','Cooperative'
1,'Government','Corporate'
1,'Government','Democracy'
1,'Government','Dictatorship'
1,'Government','Feudal'
1,'Government','Imperial'
1,'Government','None'
1,'Government','Patronage'
1,'Government','Prison Colony'
1,'Government','Theocracy'
1,'Population','manual Number'
1,'Population','manual String'
1,'Security','High'
1,'Security','Low'
1,'Security','Medium'
2,'Allegiance','Alliance'
2,'Allegiance','Anarchy'
2,'Allegiance','Empire'
2,'Allegiance','Federation'
2,'Allegiance','Independent'
2,'Allegiance','None'
2,'Economy','Agriculture'
2,'Economy','Extraction'
2,'Economy','High Tech'
2,'Economy','Industrial'
2,'Economy','Refinery'
2,'Economy','Service'
2,'Economy','Terraforming'
2,'Economy','Tourism'
2,'Facility','Black Market'
2,'Facility','Commodities'
2,'Facility','Outfitting'
2,'Facility','Re-Arm'
2,'Facility','Refuel'
2,'Facility','Repair'
2,'Facility','Shipyard'
2,'Government','Anarchy'
2,'Government','Colony'
2,'Government','Communism'
2,'Government','Confederacy'
2,'Government','Cooperative'
2,'Government','Corporate'
2,'Government','Democracy'
2,'Government','Dictatorship'
2,'Government','Feudal'
2,'Government','Imperial'
2,'Government','None'
2,'Government','Patronage'
2,'Government','Prison Colony'
2,'Government','Theocracy'
2,'Type','Civilian'
2,'Type','Commercial'
2,'Type','Coriolis'
2,'Type','Extension Arms'
2,'Type','Industrial'
2,'Type','Military'
2,'Type','Mining'
2,'Type','Ocellus'
2,'Type','Orbis'
2,'Type','Outpost'
2,'Type','Scientific'
2,'Type','Starport'
2,'Type','Unsanctioned'
