unq:name
'Agriculture'
'Anarchy'
'Black Market'
'Civilian Outpost'
'Commercial Outpost'
'Commodities'
'Confederacy'
'Coriolis Starport'
'Corporate'
'Democracy'
'Dictatorship'
'Extraction'
'Federation'
'Feudal'
'G6 V'
'G7 VA'
'G8 VAB'
'High'
'Independent'
'Industrial'
'Industrial Outpost'
'K0 VZ'
'K4 V'
'K5 V'
'K7 VA'
'L2 V'
'L7 V'
'L8 V'
'Low'
'M0 V'
'M0 VA'
'M1 VA'
'M3 VA'
'M4 VA'
'M6 VA'
'M7 IVB'
'M9 VI'
'manual Number'
'manual String'
'Medium'
'Ocellus Starport'
'Orbis Starport'
'Outfitting'
'Re-Arm'
'Refinery'
'Refuel'
'Repair'
'Shipyard'
'T6 V'
'Tourism'
'Unsanctioned Outpost'
'Y4 V'
