unq:!name@System.system_id,unq:name@Station.station_id,unq:name@Ship.ship_id,modified
'BD+47 2112','Orsini Mining Platform','Eagle','2015-03-15 13:37:16'
'BD+47 2112','Orsini Mining Platform','Hauler','2015-03-15 13:37:16'
'BD+47 2112','Orsini Mining Platform','Sidewinder','2015-03-15 13:37:16'
'LHS 3006','Leonard Nimoy Station','Adder','2015-03-15 13:37:16'
'LHS 3006','Leonard Nimoy Station','Cobra','2015-03-15 13:37:16'
'LHS 3006','Leonard Nimoy Station','Sidewinder','2015-03-15 13:37:16'
'WYRD','Bokeili Station','Eagle','2015-03-15 13:37:16'
'WYRD','Bokeili Station','Sidewinder','2015-03-15 13:37:16'
'WYRD','Gareth Edwards Park','Adder','2015-03-15 13:37:16'
'WYRD','Gareth Edwards Park','Cobra','2015-03-15 13:37:16'
'WYRD','Gareth Edwards Park','Type 6','2015-03-15 13:37:16'
'WYRD','Vonarburg Co-operative','Eagle','2015-03-15 13:37:16'
'WYRD','Vonarburg Co-operative','Sidewinder','2015-03-15 13:37:16'
