unq:name@System.system_id,unq:name,ls_from_star,blackmarket,max_pad_size,market,shipyard,outfitting,rearm,refuel,repair,planetary,modified
'22 G LEONIS','Banks Dock',2280,'N','M','Y','N','N','N','Y','Y','N','2015-04-18 08:23:32'
'35 DRACONIS','Conway Dock',3242,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-22 10:56:20'
'35 DRACONIS','Normand Enterprise',5809,'N','M','Y','N','Y','Y','Y','Y','N','2015-03-22 13:45:59'
'38 LYNCIS','Macleod Market',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'78 URSAE MAJORIS','Arrhenius Orbital',657,'Y','M','Y','N','Y','N','N','Y','N','2015-05-09 13:16:25'
'78 URSAE MAJORIS','Berners-Lee City',11896,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-09 13:53:15'
'78 URSAE MAJORIS','Haignere Station',986,'Y','M','Y','N','Y','Y','Y','Y','N','2015-05-09 13:27:49'
'78 URSAE MAJORIS','Kizim Hub',986,'Y','M','Y','N','N','N','Y','N','N','2015-05-09 13:33:35'
'78 URSAE MAJORIS','Read Gateway',389,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-09 12:23:31'
'78 URSAE MAJORIS','Rominger Dock',254,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-09 11:22:01'
'78 URSAE MAJORIS','Seddon Gateway',191,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-09 10:09:04'
'78 URSAE MAJORIS','Teller Terminal',656,'Y','M','Y','N','N','Y','Y','Y','N','2015-05-09 13:06:05'
'78 URSAE MAJORIS','Townshend Hub',13251,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-09 14:08:11'
'ACOKWANG','Zahn Colony',4603,'N','M','N','N','N','Y','Y','Y','N','2016-06-26 14:45:21'
'AEOLUS','Yu Station',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'AERIAL','Andrade Legacy',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'AKHEILOS','Pawelczyk Orbital',14,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-28 15:53:41'
'AKHEILOS','Smith City',8,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 15:37:38'
'AKHEILOS','Titov Colony',14,'N','M','Y','N','N','Y','Y','Y','N','2015-03-28 16:05:47'
'ALCOR','Birmingham Dock',1855,'N','M','Y','N','N','N','Y','N','N','2015-05-09 15:57:09'
'ALCOR','Fast Landing',1801,'Y','M','Y','N','Y','Y','Y','N','N','2015-05-09 15:48:09'
'ALCOR','Macdonald Settlement',1857,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-09 16:14:48'
'ALGIEBA','Hart Hub',1763,'Y','M','N','N','N','Y','Y','Y','N','2015-04-12 22:18:46'
'ALGIEBA','Olivas Station',1729,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-12 21:59:18'
'ALIOTH','Irkutsk',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'ALMAGEST','Sirius Reach',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'ALYUTO','Levinson Vision',397,'N','M','Y','N','N','Y','Y','Y','N','2015-05-10 17:34:55'
'AMIJANGAL','Dana Point',11,'N','M','Y','N','Y','N','Y','Y','N','2015-04-25 19:56:15'
'AMIJANGAL','Gooch Works',16,'Y','M','N','N','N','Y','Y','Y','N','2015-04-25 19:25:55'
'APALA','Popper Port',1320,'Y','M','Y','N','N','Y','Y','N','N','2015-03-20 11:04:44'
'APALA','Walker Port',2003,'N','M','Y','N','Y','Y','Y','Y','N','2015-03-20 11:14:53'
'APALA','Wilson City',30,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-20 10:42:12'
'ARACINICNII','Hannu Enterprise',1791,'N','M','Y','N','Y','Y','Y','Y','N','2015-04-18 17:38:53'
'ARACINICNII','Yano Co-operative',1147,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-18 18:53:43'
'ASELLUS PRIMUS','BEAGLE 2 LANDING',1184,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-08 13:09:22'
'ASELLUS PRIMUS','FOSTER RESEARCH LAB',172,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-08 12:43:24'
'ASGANDJIN','Behnken''s Claim',373,'Y','M','N','N','Y','Y','Y','Y','N','2015-04-24 15:40:18'
'ASGANDJIN','Hoshide Outpost',251,'N','M','Y','N','N','N','Y','Y','N','2015-04-24 15:48:33'
'ASGAR','Wilder Dock',1781,'N','M','Y','N','N','N','Y','N','N','2015-05-11 14:39:01'
'ASGAR','Windt Station',1301,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-11 14:12:53'
'ATLANTIS','Ayers City',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'AULIS','Dezhurov Gateway',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'AUNOCHIS','Fuglesang Base',1958,'N','M','Y','N','Y','Y','Y','Y','N','2016-06-21 19:08:53'
'AZRAEL','Extra Refinery',399,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-22 15:58:41'
'AZRAEL','Guth Dock',2693,'Y','M','N','N','Y','Y','Y','Y','N','2015-11-22 15:50:35'
'AZRAEL','Rafferty''s Mobius',399,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-22 16:07:52'
'BARKU','Avdeyev Station',624,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-19 15:41:33'
'BARKU','Pudwill Gorie Port',880,'Y','M','Y','N','Y','N','N','Y','N','2015-04-19 16:08:05'
'BATANI','Curbeam''s Claim',120,'N','M','Y','N','N','N','Y','Y','N','2015-03-25 18:41:11'
'BATANI','Linnehan Base',68,'N','M','Y','N','Y','N','Y','Y','N','2015-03-25 18:22:09'
'BD+05 2950','Malerba Plant',19,'N','M','Y','N','N','N','Y','Y','N','2015-04-03 12:58:46'
'BD+08 3000','Bernoulli Installation',242,'N','M','Y','N','N','N','Y','N','N','2015-04-05 10:44:57'
'BD+08 3000','Tokubei Orbital',364,'N','M','N','N','N','Y','Y','Y','N','2015-04-05 10:58:53'
'BD+11 2853','Midgeley Settlement',186687,'N','M','Y','N','Y','N','Y','Y','N','2015-04-06 17:56:48'
'BD+11 2853','Ostwald Base',3594,'Y','M','N','N','Y','Y','Y','Y','N','2015-04-06 17:09:08'
'BD+15 2847','Halley Port',431,'Y','M','Y','N','Y','Y','Y','Y','N','2015-04-09 16:01:07'
'BD+15 2847','Kaleri Gateway',250,'N','M','Y','N','N','N','N','Y','N','2015-04-09 16:23:34'
'BD+15 2847','Reynolds Terminal',165,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-09 16:37:09'
'BD+16 2722','Hooke Camp',2984,'N','M','Y','N','N','N','Y','Y','N','2015-04-03 18:56:06'
'BD+16 2722','Robinson Landing',3004,'N','M','Y','N','Y','N','Y','Y','N','2015-04-03 19:05:07'
'BD+22 2632','Ellern Ring',2072,'Y','M','Y','N','Y','N','N','Y','N','2015-03-28 21:19:06'
'BD+22 2632','Moran Platform',1189,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 21:00:18'
'BD+22 2632','Scheerbart Colony',1553,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-28 21:09:51'
'BD+23 2640','Humphreys Station',475,'N','M','Y','N','N','N','Y','Y','N','2015-03-28 20:06:32'
'BD+23 2640','Wagner Dock',280,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 19:39:28'
'BD+23 2640','Zebrowski Hub',674,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-28 19:55:24'
'BD+38 2037','Crown Dock',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'BD+47 2112','Orsini Mining Platform',244,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-06 15:24:12'
'BD-14 3326','Robinson Station',1142,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-19 10:10:10'
'BD-14 3326','Siegel Port',450,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-19 09:17:48'
'BELARSUK','Kurland Hub',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'BERKANAN','Amundsen Dock',878,'N','M','Y','N','N','N','Y','Y','N','2015-04-10 12:46:45'
'BERKANAN','Schouten Platform',1600,'N','M','Y','N','N','N','Y','N','N','2015-04-10 13:21:40'
'BETA-2 TUCANAE','Mouchez Orbital',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'BETSE AIBES','Leinster Colony',372,'N','M','Y','N','Y','Y','Y','Y','N','2015-04-12 20:48:55'
'BETSE AIBES','Williams Station',213,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-12 20:13:57'
'BHRITZAMENO','Feynman Terminal',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
