name@System.system_id,name@Attributes.attrib_id,name@AttribValues.value_id,value
'22 G LEONIS','Allegiance','Federation',''
'22 G LEONIS','Economy','Extraction',''
'22 G LEONIS','Economy','Refinery',''
'22 G LEONIS','Government','Democracy',''
'22 G LEONIS','Population','manual Number','36219'
'22 G LEONIS','Security','Medium',''
'35 DRACONIS','Allegiance','Independent',''
'35 DRACONIS','Economy','Industrial',''
'35 DRACONIS','Economy','Refinery',''
'35 DRACONIS','Government','Communism',''
'35 DRACONIS','Population','manual Number','18763480'
'35 DRACONIS','Security','High',''
'AKHEILOS','Allegiance','Federation',''
'AKHEILOS','Economy','Industrial',''
'AKHEILOS','Economy','Refinery',''
'AKHEILOS','Government','Democracy',''
'AKHEILOS','Population','manual Number','5170820'
'AKHEILOS','Security','High',''
'ALGIEBA','Allegiance','Federation',''
'ALGIEBA','Economy','Extraction',''
'ALGIEBA','Economy','Industrial',''
'ALGIEBA','Government','Corporate',''
'ALGIEBA','Population','manual Number','3768132'
'ALGIEBA','Security','Medium',''
'APALA','Allegiance','Independent',''
'APALA','Economy','High Tech',''
'APALA','Economy','Refinery',''
'APALA','Government','Corporate',''
'APALA','Population','manual Number','17680971'
'APALA','Security','Medium',''
'ARACINICNII','Allegiance','Independent',''
'ARACINICNII','Economy','Industrial',''
'ARACINICNII','Government','Cooperative',''
'ARACINICNII','Population','manual Number','2116201'
'ARACINICNII','Security','Medium',''
'BARKU','Allegiance','Federation',''
'BARKU','Economy','High Tech',''
'BARKU','Economy','Refinery',''
'BARKU','Government','Corporate',''
'BARKU','Population','manual Number','3382934'
'BARKU','Security','Medium',''
'BATANI','Allegiance','Federation',''
'BATANI','Economy','Extraction',''
'BATANI','Economy','Refinery',''
'BATANI','Government','Democracy',''
'BATANI','Population','manual Number','33328'
'BATANI','Security','Medium',''
'BD+05 2950','Allegiance','Federation',''
'BD+05 2950','Economy','Extraction',''
'BD+05 2950','Economy','Refinery',''
'BD+05 2950','Government','Democracy',''
'BD+05 2950','Population','manual Number','35084'
'BD+05 2950','Security','Medium',''
'BD+08 3000','Allegiance','Independent',''
'BD+08 3000','Economy','Extraction',''
'BD+08 3000','Economy','Refinery',''
'BD+08 3000','Government','Dictatorship',''
'BD+08 3000','Population','manual Number','163034'
'BD+08 3000','Security','Medium',''
'BD+11 2853','Allegiance','Federation',''
'BD+11 2853','Economy','Extraction',''
'BD+11 2853','Economy','Refinery',''
'BD+11 2853','Government','Democracy',''
'BD+11 2853','Population','manual Number','62251'
'BD+11 2853','Security','Medium',''
'BD+15 2847','Allegiance','Federation',''
'BD+15 2847','Economy','Industrial',''
'BD+15 2847','Economy','Refinery',''
'BD+15 2847','Government','Democracy',''
